complaint_type,descriptor,count
Literature Request,SCHOOL'S GREEN DECAL (LIMIT 50),25
Radioactive Material,Material Stored Improperly,25
Street Condition,Street Cave-In,24
Street Condition,Suspected Street Cut,24
Plumbing,Jewelry/Dentistry Torch: Gas Piping Removed W/O Permit,24
Bottled Water,Odor,24
DCA / DOH New License Application Request,Amusement Arcade License,24
DCA / DOH New License Application Request,Locksmith Apprentice License,24
Municipal Parking Facility,Sign Defect - Garage,23
Outdoor Dining,ADA Ramp Missing,23
OEM Literature Request,Ready NY - Seniors and Disabled - Chinese,23
Air Quality,"Air: Odor/Fumes, Other (Use Comments) (AD6)",22
Literature Request,SCHOOL'S BLUE DECAL (LIMIT 50),22
Bottled Water,Sediment,22
Comments,Human Capital,22
Forensic Engineering,Retaining Wall Tracking Complaint,22
Bottled Water,Illness/Injury,22
DCA / DOH New License Application Request,Compressed Air License,22
OEM Literature Request,Ready NY - Chinese Traditional - Pocket Size,22
Consumer Complaint,Public Event Seating,22
SRDE,,22
Consumer Complaint,Toy Gun Sale,22
Consumer Complaint,Grocery Store,22
Consumer Complaint,Pet Store,22
X-Ray Machine/Equipment,Equipment Malfunction,22
Highway Condition,Debris,22
DCA / DOH New License Application Request,Auction House License,21
Interior Demo,Non-Compliance w/TTPN 1/00 - Vertical Enlargements,21
Sewer Maintenance,Catch Basin Sunken,21
OEM Literature Request,Ready NY - Russian - Pocket Size,21
HPD Literature Request,Neighborhood Entrepreneurs Program (NEP) Guide,21
Consumer Complaint,Documents Not Returned,21
Street Sign - Dangling,Do Not Block the Box,21
DCA / DOH New License Application Request,Dealer in Devices for Disabled License,21
DCA / DOH New License Application Request,Gaming Cafe License,20
Traffic Signal Condition,Tie Rods,20
Literature Request,SCHOOL'S GUIDE & CONTEST BROCHURE (LIMIT 10),20
Found Property,Musical Instrument,20
Air Quality,"Air: Open Fire, Commercial (AC2)",20
NORC Complaint,N/A,20
Building Condition,Commercial,19
Water Maintenance,Hydrant Defect,19
Consumer Complaint,Missing Complaint Sign,19
DRIE,Application Portability,19
Traffic Signal Condition,Lane Station,19
Water System,Manhole Cover Missing (Emergency) For Dep Internal Use Only (WF),19
HPD Literature Request,The ABCs of Housing - Korean,19
Transfer Station Complaint,Odor,19
Comments,Other,19
Consumer Complaint,Extra Parts,19
OEM Literature Request,Ready NY - Chinese Simplified - Full Size,19
Found Property,Sports Equipment,19
Beach/Pool/Sauna Complaint,Indoor Pool Over Capacity,19
Paint/Plaster,Radiator,18
Health,Accessing Medical Care,18
Electronics Waste,1RE missed collection for E-waste,18
Consumer Complaint,Catering Establishment,18
DOR Literature Request,Birth Certificate Before 1910 Order Form,18
Air Quality,Air: Dust,18
Consumer Complaint,Pawnbroker,18
DHS Advantage - Third Party,Landlord Requesting Additonal Rent,18
DCA / DOH New License Application Request,Animal Training License,18
Highway Sign - Damaged,Electronic Sign - Portable,18
Illegal Animal Kept as Pet,Turtle Under 4 inches Long,18
No Child Left Behind,School Choice/Transfer,18
Question,Tax Commission Rules,18
Street Sign - Dangling,No Idling,18
Bottled Water,Color,18
Paint/Plaster,Door/Frame,17
Research Questions,Zoning and Land Use Questions/Information,17
Illegal Animal Sold,Rooster,17
Highway Sign - Dangling,Speed Limit,17
Consumer Complaint,Horse-Drawn Cab,17
Consumer Complaint,Pool/Billiard Hall,17
Consumer Complaint,Pregnancy Services Center,17
Forensic Engineering,Monopole Tracking Complaint,17
Traffic Signal Condition,Messenger,17
Traffic Signal Condition,Conflict Monitor,17
Special Enforcement,SEP - Professional Certification Compliance Audit,17
HPD Literature Request,The ABCs of Housing - Haitian Creole,17
Advocate-Personal Exemptions,Personal Other Exemption,17
OEM Literature Request,Hurricane Preparedness - Arabic,17
Question,Accessibility Accommodations,17
OEM Literature Request,Ready NY - Arabic - Full Size,17
DCA / DOH New License Application Request,Pedicab Driver,16
Consumer Complaint,Vocational or Trade School,16
OEM Literature Request,Hurricane Preparedness - Italian,16
STRUCTURAL,WATER-LEAKS,16
Research Questions,City Planning Commission,16
Teaching/Learning/Instruction,Summer School,16
DCA / DOH New License Application Request,Pool or Billiard Hall License,16
X-Ray Machine/Equipment,Overexposure During Treatment,15
OEM Literature Request,Hurricane Preparedness - Haitian Creole,15
Sewer Maintenance,Flooding on Highway,15
DOF Property - Payment Issue,Payment Made to Wrong BBL,15
Consumer Complaint,Office Supply or Stationery Store,15
Taxpayer Advocate Inquiry,Property Value,15
DHS Advantage - Third Party,Possible Landlord Foreclosure,15
HPD Literature Request,Article 8A Loan Program,15
OEM Literature Request,Ready NY - Seniors and Disabled - Russian,15
Literature Request,AGENCY INSTITUTIONAL POSTER,15
DOR Literature Request,Marriage Certificate Order Form,15
HPD Literature Request,Storm Recovery Loan Program - Information Sheet,15
DEP Street Condition,Sunken Pavement,15
Literature Request,RECYCLING IN ONE-AND TWO-FAMILY HOMES VIDEO,15
Construction Safety Enforcement,CSE - Tracking Compliance,15
Summer Camp,Swimming Pool/Waterfront,14
Traffic Signal Condition,Dust Cover,14
Consumer Complaint,Advance Fee,14
HPD Literature Request,Small Buildings Loan Program,14
Oil or Gas Spill,Emergency Personnel Report,14
Comments,Real Property Tax Assessment/Correction,14
Consumer Complaint,Going Out of Business,14
DOF Property - City Rebate,Check Lost or Not Received,13
DCA / DOH New License Application Request,Secondhand Dealer Firearms License,13
Boilers,Accident/Explosion - Boiler,13
Consumer Complaint,Games of Chance,13
Advocate - Lien,Lien Sale,13
DOF Property - RPIE Issue,Status of Completed Waiver,13
Literature Request,SCHOOL RECYCLING VIDEO GRADES 7-12,13
Forms,Advice Request,13
Tunnel Condition,Rough Pavement,13
SNW,,13
Consumer Complaint,Wholesale Food Market,13
Literature Request,COMMERICAL RECYCLING HANDBOOK-SPANISH,13
Tanning,Equipment Maintenance,13
Consumer Complaint,Scale Dealer or Repairer,13
Consumer Complaint,No Statement of Job Conditions,12
Comments,Citywide Procurement,12
DEP Street Condition,Defective Hardware - DEP,12
Comments,Information Technology,12
Question,Landlord Inquiries,12
Literature Request,SCHOOL RECYCLING VIDEO FOR TEACHERS & ADMSTR,12
Illegal Animal Sold,Monkey,12
OEM Literature Request,Ready NY - Pets - Spanish,12
Fire Alarm - Reinspection,For Violation,12
Teaching/Learning/Instruction,Gifted and Talented,12
Noise,Noise: Boat(Engine,12
DHS Advantage - Third Party,Returning Payment,11
General Construction/Plumbing,Demolition - No Permit,11
Consumer Complaint,Public Event,11
E-Scooter,Damaged or Vandalized,11
Plumbing,,11
Question,Fiscal and Business Management,11
Consumer Complaint,Sales Promotion,11
DCA / DOH New License Application Request,Horse Drawn Carriage Driver License,11
Question,Fleet,11
DSNY Internal,Other Request for Enforcement,11
Ferry Complaint,Stores and Vendors,10
OEM Literature Request,Ready NY - Korean - Full Size,10
DEP Sidewalk Condition,Cave-in,10
E-Scooter,Parking Corral Not Maintained,10
Literature Request,COMPOSTING-INSTITUTIONAL COMPOSTING VIDEO,10
City Vehicle Placard Complaint,Wind,10
OEM Literature Request,Hurricane Preparedness - Korean,10
Foam Ban Enforcement,ERV FOAM VIOL. FOOD VENDOR,10
Water Quality,Bwso Referral To Water Quality (For Dep Internal Use Only) (QBWSO),10
Traffic Signal Condition,Marine Flasher,10
Consumer Complaint,High Pressure Sales,10
Boiler,Not Working,10
Green Taxi Report,Vehicle Report,10
Advocate - RPIE,RPIE - Filing and Technical Issues,10
Consumer Complaint,Movie Theater,10
Traffic Signal Condition,Fixture(S),10
AGENCY,HOUSING QUALITY STANDARDS,9
Hazardous Materials,"BUILDING COLLAPSE/FIRE, (ASBESTOS RELATED) *FOR DEP INTERNAL USE ONLY* (HH2)",9
DOF Property - Reduction Issue,Commercial DAMP Exemption,9
Traffic Signal Condition,Det-Sens Cabinet,9
Advocate-Prop Class Incorrect,Property Misclassification,9
BEST/Site Safety,Routine Inspection,9
Water Quality,Taste/Odor,9
OEM Literature Request,Ready NY - Businesses - Chinese,9
Forensic Engineering,Second Avenue Subway Construction,9
Consumer Complaint,Carpet and Flooring Business,9
DEP Highway Condition,Cave-in,9
DCA / DOH New License Application Request,Shelter for Homeless Animals License,9
DCA / DOH New License Application Request,Temporary Amusement Device License,9
Consumer Complaint,Bail Bond Agent,9
Outdoor Dining,Utility Cover Blocked,9
Consumer Complaint,No Bill of Rights,9
Taxi Complaint,Driver Report - Passenger,9
OEM Literature Request,Ready NY My Emergency Plan - Korean,9
Building Drinking Water Tank,Broken or Defective,9
Special Operations,DCP/BSA Compliance Inspection,9
Illegal Animal Sold,Ferret,9
Question,Capital Construction,8
Traffic Signal Condition,Expressway Sign,8
Illegal Animal Sold,Iguana,8
OEM Literature Request,Summer Heat - Chinese,8
Street Light Condition,Fire Alarm Lamp Cycling,8
OEM Literature Request,Ready NY - Businesses - Spanish,8
Water System,Open Excavation (WZZ2),8
Summer Camp,Food/Food Worker,8
OEM Literature Request,Hurricane Preparedness - Yiddish,8
ZTESTINT,,8
Taxpayer Advocate Inquiry,Co-op or Condo Abatement,8
DOF Property - Reduction Issue,Personal Crime Victim or Good Samaritan Exemption,8
VACANT APARTMENT,ABANDONED APARTMENT UNIT,8
OEM Literature Request,Ready NY My Emergency Plan - Italian,8
Traffic Signal Condition,Ethernet Cable,8
DEP Street Condition,Defective Manhole Cover,8
Sidewalk Condition,Dumpster - Bulk Household,8
DEP Street Condition,Ponding,8
Comments,FOIL Request - Request for Records,8
DCA / DOH New License Application Request,Motion Picture Operator License,8
Consumer Complaint,Minor Access,8
Traffic Signal Condition,Dead End Sign,7
Forms,Other Health Matters,7
Asbestos,Asbestos Project Notification (B2),7
DEP Highway Condition,Defective Manhole Cover,7
Comments,EEO,7
Consumer Complaint,Spanish Speaking Business,7
Obstruction,Coin-Operated Ride,7
Internal Code,Noise: Other Noise Sources (Use Comments) - For Dep Internal Use Only (YNZZ),7
Consumer Complaint,Loan Offer,7
Consumer Complaint,Auction House or Auctioneer,7
HPD Literature Request,Certificate of No Harassment (CONH) Application,7
Public Assembly,Reinspection,7
OUTSIDE BUILDING,FENCING,7
DHS Advantage - Third Party,Unenroll from Advantage Program,7
DCA / DOH New License Application Request,Scale Dealer or Repairer License,7
Lost Property,,7
Taxpayer Advocate Inquiry,Property Misclassified,7
Consumer Complaint,Spanish Transaction,7
OEM Literature Request,Ready NY - French - Full Size,7
Rangehood,Re-inspection,7
Lead,Lead Other (Use Comments) (L2),7
Employee Behavior,CP1 Employee Behavior-Bcc,7
Cranes and Derricks,Failure to Comply with Annual Crane Inspection,7
Forensic Engineering,Structurally Compromised Building (LL33/08),6
Consumer Complaint,Used Gun Dealer,6
Safety,Sprinkler,6
Green Taxi Complaint,Insurance Information Requested,6
DOR Literature Request,Genealogy Research Application,6
DSNY Spillage,4 DSNY Spillage,6
Consumer Complaint,High Interest Loan,6
Portable Toilet,Odor,6
DCA / DOH New License Application Request,Horse Stable License,6
Taxpayer Advocate Inquiry,Business Tax,6
Portable Toilet,Unsanitary Condition,6
Advocate-Commercial Exemptions,Commercial Not For Profit Exemption,6
Research Questions,Special Agency Projects/Initiatives,6
Comments,General Counsel,6
OEM Literature Request,Ready NY - Seniors and Disabled - Braille for the Blind,6
Hazardous Materials,"Lead, Outdoor (HJ2)",6
Advocate-SCRIE/DRIE,SCRIE Miscellaneous,6
Teaching/Learning/Instruction,Tutoring,6
DCA / DOH New License Application Request,Booting Company License,6
Elevator,Bicycle Access Waiver Request - Elevator Safety,6
Forms,Complaint,6
Standpipe - Mechanical,Voluntary,6
Outside Building,,6
HPD Literature Request,Participation Loan Program (PLP),5
Teaching/Learning/Instruction,Home Instruction,5
Question,Construction and Technical Services,5
OEM Literature Request,Hurricane Preparedness - Polish,5
Street Condition,Guide Rail,5
Traffic Signal Condition,Mssg Sign Multi Lamp,5
Teaching/Learning/Instruction,Pre-Kindergarten,5
No Child Left Behind,Tutoring (SES),5
Tanning,Child or Minor Tanning,5
E-Scooter,Parking Corral Not Maintenance,5
Retailer Complaint,Plastic Straws,5
HPD Literature Request,Housing Quality Standards (HQS) Inspections FAQs - Spanish,5
DOB Posted Notice or Order,Vacate Order,5
Hazardous Materials,"Building Collapse/Fire, (Asbestos Related) (HH1)",5
OEM Literature Request,Ready NY - Pets - Chinese,5
DCA / DOH New License Application Request,Horse Drawn Carriage Owner License,5
Dispatched Taxi Complaint,Car Service Company Complaint,5
Fire Alarm - New System,Existing Building,5
Consumer Complaint,Professional Photographer,5
Street Light Condition,Highway Sign Lighting Repair,5
Question,Energy,5
Tanning,Equipment Not Safe,5
DCA / DOH New License Application Request,Infant Formula License,5
Literature Request,INSTITUTIONAL RECYCLING VIDEO,5
Question,Language Access Coordinator,5
Boiler,No Permit/Not Registered,5
DEP Highway Condition,Sunken Pavement,5
Advocate-Commercial Exemptions,421A Exemption,5
Consumer Complaint,Cabaret,5
OEM Literature Request,Summer Heat - Haitian Creole,5
Lost Property,Bag,5
Taxi Complaint,Driver Report - Non Passenger,5
DOF Property - Reduction Issue,Personal Military Relief Exemption,5
Consumer Complaint,Minor Present School Hours,5
Taxi Licensee Complaint,Driver Complaint - Non Passenger,4
Retailer Complaint,Foam,4
Question,Appeals Division,4
Elevator,Amusement Ride Accident/Incident,4
Comments,Special Events,4
Consumer Complaint,Financial Education Network,4
Question,Non-Public Schools,4
Comments,Facilities Management,4
../../../../../../../../../...,Trauma Counseling,4
Outdoor Dining,Platform Condition,4
Street Light Condition,Fire Alarm Lamp Dayburning,4
Public Assembly,Initial,4
Internal Code,Noise: Construction Equipment - For Dep Internal Use Only (YNC1),4
Hazardous Materials,Oil Spill On Street,4
OEM Literature Request,Summer Heat - Korean,4
Consumer Complaint,Non-Disclosure of Ownership,4
Question,Annual Report,4
..\..\..\..\..\..\..\..\..\...,Trauma Counseling,4
Advocate-Commercial Exemptions,Commercial Other Exemption,4
Advocate-Business Tax,General Business Tax - Refund,4
Taxi Complaint,Car Service Company Complaint,4
Traffic Signal Condition,Red Lt Camera Feed,4
Snow Removal,Not Replowed,4
Health,Health Instruction in School,4
Comments,Fleet,4
Comments,Capital Construction,4
Comments,Executive,4
Unsanitary Condition,Pests,4
OEM Literature Request,Summer Heat - Russian,4
SRGOVG,,4
DEP Street Condition,Asphalt Around Manhole Cover,4
Dispatched Taxi Complaint,Driver Complaint - Passenger,4
Traffic Signal Condition,Coax Cable,4
Fire Alarm - New System,New Building,4
Fire Alarm - Reinspection,For Letter of Defect,4
Fire Alarm - Modification,To FDNY Approved System,4
DCA / DOH New License Application Request,Pathogens License,4
Comments,Non-Public Schools,3
OEM Literature Request,Hurricane Preparedness - Urdu,3
General Construction/Plumbing,Plan Compliance Inspection,3
Traffic Signal Condition,EXPY Fixture,3
Literature Request,RECYCLING-APARTMENT BLDG RECYCLING VIDEO SPH,3
Internal Code,NOISE: AIR CONDITION/VENTILATION EQUIPMENT - FOR DEP INTERNAL USE ONLY (YNV1),3
DCA / DOH New License Application Request,Tow Truck Exemption License,3
DOF Property - State Rebate,Check Lost or Not Received,3
DCA / DOH New License Application Request,Storage Warehouse License,3
Advocate-UBT,Unincorporated Business Tax - Return Filing,3
Taxpayer Advocate Inquiry,Excise Taxes-Refund,3
Hazardous Materials,Natural Gas Leak *For Dep Internal Use Only* (HF1),3
Taxi Licensee Complaint,Owner/Broker/Agent Complaint,3
Consumer Complaint,Utility Company,3
DEP Street Condition,Failed Street Cut - DEP,3
Taxpayer Advocate Inquiry,Commercial Exemptions,3
Traffic Signal Condition,Supervisory,3
Advocate-SCRIE/DRIE,SCRIE Initial Application,3
Advocate-SCRIE/DRIE,DRIE,3
Water Conservation,"Swimming Pool, Illegal Filling - Private Residence (CER)",3
Consumer Complaint,Disclosure Not Provided,3
Water System,Defective Valve (For Dep Internal Use Only) (WV1),3
Door/Window,Door to Dumbwaiter,3
Sewer Maintenance,Catch Basin Grate Missing,3
Summer Camp,Animals/Other,3
Forms,Mental Health,3
Comments,Real Estate Services,3
Tanning,Injury or Illness from Tanning,3
General Question,About NYC Opportunity,3
OEM Literature Request,Ready NY My Emergency Plan - Polish,3
Consumer Complaint,Cancellation/Closure without Notice,3
GENERAL CONSTRUCTION,PORCH/BALCONY,3
Advocate-SCRIE/DRIE,SCRIE Application Denial,3
Comments,Communications/Intergovernmental,3
Taxi Compliment,Driver Complaint - Passenger,3
Transfer Station Complaint,Dust,3
DEP Street Condition,Plate Condition - DEP,3
Water Conservation,OTHER WATER WASTE PROBLEM (USE COMMENTS) FOR DEP INTERNAL USE ONLY (CZ),3
Traffic Signal Condition,Marine Lamp,3
Misc. Comments../../../../....,Trauma Counseling,3
Dispatched Taxi Complaint,Vehicle Complaint,3
Water System,Caps & Chains Missing-Fire Dept Use Only (WKMC),3
Tunnel Condition,Graffiti - Tunnel,3
Traffic Signal Condition,RTMS,3
Dispatched Taxi Complaint,Driver Complaint - Non Passenger,3
Recycling Enforcement,,3
Dispatched Taxi Compliment,Driver Compliment,3
DCA / DOH New License Application Request,Permanent Amusement Device License,3
OEM Literature Request,Ready NY - Polish - Full Size,3
Comments,Energy,3
Indoor Air Quality,N/A,3
Sidewalk Condition,Hydrant Defect,2
DEP Sidewalk Condition,Defective Catch Basin,2
Taxi Licensee Complaint,Driver Complaint - Passenger,2
DOF Property - State Rebate,Incorrect Address,2
Noise,Noise: Loud Music From Siebel System - For Dep Internal Use Only (NP21),2
Hazardous Materials,Unsafe Chemical,2
DEP Highway Condition,Failed Street Cut - DEP,2
Traffic Signal Condition,EZ PASS READER,2
Appliance,,2
Taxi Licensee Complaint,Vehicle Complaint,2
Traffic Signal Condition,Det-Sens Amplifier,2
Taxpayer Advocate Inquiry,Excise Taxes-Other,2
Advocate-Business Tax,General Business Tax - Return filing,2
Building/Use,SRO Over-Occupied/Illegal/No Permit,2
Real Time Enforcement,Local Law 188/17 Compliance Inspections - Active,2
Advocate-SCRIE/DRIE,SCRIE Application Appeal,2
Advocate-Business Tax,General Business Tax - Other,2
Homebound Evacuation 4,TAL 2 Wheelchair,2
General Question,Projects,2
Internal Code,PLANTS- OTHER RELATED PROBLEMS FOR DEP INTERNAL USE ONLY,2
Traffic Signal Condition,Marine Globe,2
Hazardous Materials,"Lead, Indoor (HJ1)",2
DEP Sidewalk Condition,Plate Condition - DEP,2
Consumer Complaint,Airline,2
Comments,Fiscal and Business Management,2
Traffic Signal Condition,EXPY Lamp,2
Taxpayer Advocate Inquiry,RPIE,2
Forms,Trauma Counseling,2
HPD Literature Request,Certificate of No Harassment (CONH) Exemption,2
Water System,Hyd Valve Box Defective - See Comments *For Dep Use Only* (WV3),2
Hazardous Materials,Indoor Air Complaint (HK1),2
Rangehood,Initial,2
Teaching/Learning/Instruction,Home Schooling,2
Trapping Pigeon,N/A,2
Unsanitary Condition,Unsanitary Condition,2
Advocate-Commercial Exemptions,Commercial ICP or ICAP Exemption,2
Unsanitary Condition,Sewage,2
Advocate-Commercial Exemptions,Green Roof or Solar Panel Exemption,2
Gas Station Discharge Lines,Hydrotest,2
Taxi Compliment,Driver Complaint - Non Passenger,2
Forms,,2
Traffic Signal Condition,P.E. Cell,2
Water Conservation,Wasting Faucets,2
Select Message Type...,Budget,2
Water Quality,No Sampling Required,2
DEP Highway Condition,Ponding,2
For Hire Vehicle Report,Driver Complaint - Passenger,2
Public Toilet,Lighting/Electrical,2
ZSYSTEST,,2
Water Maintenance,Other Water Problem,2
Traffic Signal Condition,Marine Fixture,2
Traffic Signal Condition,EXPY Sign Reflector,2
DCA / DOH New License Application Request,Weight Reducing Group License,2
Consumer Complaint,Publishing Company,2
Water Maintenance,Defective Hydrant,2
Comments,Accessibility Accommodations,2
Taxpayer Advocate Inquiry,General Business Tax- Audit,2
Ferry Complaint,Lost and Found,2
Sprinkler - Mechanical,Voluntary,2
Dispatched Taxi Complaint,Driver Report - Non Passenger,2
Electronics Waste,1RE Recycling Electronics,2
Appliance,Air Conditioning Problem,2
Institution Disposal Complaint,Recycling Posters Not Posted,2
Consumer Complaint,,2
Consumer Complaint,Printing Services,2
Advocate - Levy,Seizure of Funds,2
Street Light Condition,Fire Alarm Lamp Dim,2
Forms,Inspection Requests/Complaints,2
DCA / DOH New License Application Request,Ticket Seller Business License Application,2
Taxi Report,Driver Complaint - Passenger,2
Consumer Complaint,Satisfaction with Provider,2
Recycling Enforcement,ER7 Rechargeable Battery (Retailer),2
Retailer Complaint,Plastic Stirrers or Splash Sticks,2
file:///etc/passwd,Trauma Counseling,2
Misc. Comments..\..\..\..\....,Trauma Counseling,2
Street Light Condition,Defective Streetlight,1
() { :;}; /bin/sleep 11,Trauma Counseling,1
Noise - Street/Sidewalk,,1
*)(!(objectClass=*),Trauma Counseling,1
Outside Building,Skylight,1
() { :;}; /bin/sleep 0,Trauma Counseling,1
Misc. Comments'+(select*fro...,Trauma Counseling,1
DCA / DOH New License Application Request,Employment Agency Manager License,1
266dyrgvhg1egsyp2oq57axbm2s...,Trauma Counseling,1
Misc. Comments'|ping -c 21 ...,Trauma Counseling,1
Water Maintenance,Leaking Hydrant,1
\windows\win.ini,Trauma Counseling,1
%E5%98%8A%E5%98%8DX-Injecti...,Trauma Counseling,1
Taxpayer Advocate Inquiry,Excise Taxes-Audit,1
Open Flame Permit,Initial,1
%{4761*8506},Trauma Counseling,1
Public Assembly - Temporary,Initial,1
Misc. Comments52038737' or ...,Trauma Counseling,1
General Construction/Plumbing,Building - Vacant,1
Misc. Comments&amp;echo xjd...,Trauma Counseling,1
%2e%2e%5c%2e%2e%5c%2e%2e%5c...,Trauma Counseling,1
MSOTHER,,1
DOF Parking - Request Status,Copy of Statement,1
General,Janitor/Super,1
Hazardous Material,Natural Gas Leak,1
yw97y0gi2s,Trauma Counseling,1
"Misc. Comments',0)waitfor d...",Trauma Counseling,1
DEP Street Condition,Concrete Around Hydrant,1
Meals Home Delivery Required,N/A,1
Misc. Comments'+(function()...,Trauma Counseling,1
Building Marshal's Office,Work Without Permits Watch List Compliance,1
Public Toilet,Broken Glass,1
Taxi Complaint,Jewelry,1
DOF Parking - Payment Issue,In Person - Not Reflected or Mailed - Not Reflected,1
Misc. Comments' and 6049=60...,Trauma Counseling,1
Unsanitary Condition,Odor,1
Misc. Comments%}dt2pq'/&quo...,Trauma Counseling,1
Misc. Comments|ping -c 21 1...,Trauma Counseling,1
Water Maintenance,Running Hydrant,1
Misc. Comments}}t2v95'/&quo...,Trauma Counseling,1
For Hire Vehicle Complaint,Driver Report - Passenger,1
file:///c:/windows/win.ini,Trauma Counseling,1
.../.\.../.\.../.\.../.\......,Trauma Counseling,1
Dispatched Taxi Compliment,Electronics/Phones,1
Flooring/Stairs,Stairs,1
%2e%2e%2f%2e%2e%2f%2e%2e%2f...,Trauma Counseling,1
Misc. Comments'(select*from...,Trauma Counseling,1
idexf3mrb7)(!(objectClass=*),Trauma Counseling,1
Request Changes - A.S.P.,16 Request Changes - A.S.P.,1
Recycling Enforcement,ERR Other Request For Recyc. Enf,1
Select Message Type...,Doing Business with NYC,1
LEAD,N/A,1
DPR Internal,Assault on Parks Employee,1
Green Taxi Report,Driver Complaint - Non Passenger,1
&lt;vlv xmlns=&quot;http://...,Trauma Counseling,1
OEM Literature Request,Ready NY - Pets - Russian,1
Safety,Building,1
Misc. Comments'+(select loa...,Trauma Counseling,1
Misc. Comments]]&gt;&gt;&lt;,Trauma Counseling,1
Green Taxi Complaint,Driver Report - Non Passenger,1
Hazmat Storage/Use,Other Hazmats,1
Select Message Type...,Contractor Responsibility/VENDEX,1
Misc. Comments&quot;|ping -...,Trauma Counseling,1
Advocate-Personal Exemptions,Personal Clergy Exemption,1
Noise - Residential,,1
Misc. Comments|ping -n 21 1...,Trauma Counseling,1
Lost Property,Driver Complaint - Non Passenger,1
Advocate-UBT,Unincorporated Business Tax - Refund,1
DOF Parking - Payment Issue,Copy of Statement,1
General Construction/Plumbing,Safety Netting - None,1
Taxi Complaint,Car Service Company Report,1
DOF Literature Request,A Tenant's Guide to DRIE,1
DEP Bridge Condition,Plate Condition - DEP,1
FHV Licensee Complaint,Car Service Company Complaint,1
Root/Sewer/Sidewalk Condition,Root/Sewer/Sidewalk Condition,1
For Hire Vehicle Report,Driver Complaint - Non Passenger,1
Transfer Station Complaint,Water or Sewer Runoff,1
For Hire Vehicle Complaint,Vehicle Complaint,1
Misc. Commentso0w3r%&gt;xb6...,Trauma Counseling,1
Misc. Comments' waitfor del...,Trauma Counseling,1
eval(compile('for x in rang...,Trauma Counseling,1
Internal Code,Noise: Construction Before/After Hours - For Dep Internal Use Only (YNM1),1
DCA / DOH New License Application Request,Industrial Laundry Delivery License Application,1
Unsanitary Condition,Rodents/Mice,1
Misc. Comments' and '1618'=...,Trauma Counseling,1
Forms,Building Information/Construction History,1
Forms,Facility Complaint,1
MOLD,N/A,1
Internal Code,REPORTABLE DISCHARGE EVENT (FOR DEP INTERNAL USE ONLY),1
Misc. Comments&gt;  BCC:bl0...,Trauma Counseling,1
OEM Literature Request,Ready NY - Urdu - Full Size,1
Select Message Type...,Information on Contracts and Contractors,1
Lost Property,Car Service Company Complaint,1
Water System,Service line termination *FOR DEP INTERNAL USE ONLY* (WSLT),1
Discipline and Suspension,,1
() { _; } &gt;_,Trauma Counseling,1
Forms,Mapping Information,1
Damaged Tree,Child Care Information,1
/./validate_form.php,Trauma Counseling,1
Unsanitary Condition,Unclean Condition,1
Borough Office,Illegal Commercial Or Manufacturing Use In a C1 Or C2 Zone,1
Misc. Comments47876391' or ...,Trauma Counseling,1
Parent Leadership,Information,1
For Hire Vehicle Complaint,Licensee Complaint,1
%c0%ae/WEB-INF/web.xml,Trauma Counseling,1
Misc. Comments'||(select ex...,Trauma Counseling,1
../../WEB-INF/web.xml;x=,Trauma Counseling,1
qfix4${695*589}lixaf,Trauma Counseling,1
DEP Sidewalk Condition,Defective Hardware - DEP,1
Consumer Complaint,Pest Control Services,1
&lt;odb xmlns:xi=&quot;http...,Trauma Counseling,1
Forms,Cable Television,1
Transfer Station Complaint,Open Door or Gate,1
$(sleep 11),Trauma Counseling,1
Sewer Maintenance,Curb Piece,1
Encampment,,1
DOF Parking - Request Status,Decision and Order,1
../../../WEB-INF/web.xml;x=,Trauma Counseling,1
Hazardous Material,Explosive/Weapons of Mass Destruction,1
%c0%ae/%c0%ae/%c0%ae/%c0%ae...,Trauma Counseling,1
../../../../WEB-INF/web.xml,Trauma Counseling,1
Injured Wildlife,Injured Wildlife,1
Outside Building,Roofing,1
Dirty Condition,Poster or Sign,1
Water System,Manhole Cover Broken/Making Noise *For Dep Internal Use Only* (WF1),1
Sidewalk Condition,Broken Curb,1
Advocate-UBT,Unincorporated Business Tax - Other,1
Taxpayer Advocate Inquiry,Commercial Rent Tax- Refund,1
Water Quality,BWSO Referral To Water Quality (For DEP Internal Use Only),1
..././..././..././..././......,Trauma Counseling,1
Noise,Construction Before/After Hours - For DEP Internal Use Only,1
Water Quality,Cloudy Or Milky,1
DEP Sidewalk Condition,Defective Manhole Cover,1
1430*4963,Trauma Counseling,1
Forms,NYC.gov Web Site,1
Consumer Complaint,Pool or Billiard Room,1
Fire Alarm - Replacement,Existing System,1
Internal Code,Noise: Loud Music/Nighttime(Mark Date And Time) - For Dep Internal Use Only (YNP1),1
Misc. Comments'.sleep(20).',Trauma Counseling,1
Animal in a Park,Structure - Outdoors,1
Internal Code,"Air: Smoke, Other (Use Comments)- For Dep Internal Use Only (YAA5)",1
Water Conservation,Illegal Air Conditioning During Drought (CJO),1
...\.\...\.\...\.\...\.\......,Trauma Counseling,1
Building Marshal's Office,Tenant Safety - Failure To Post/Distribute,1
Taxi Compliment,Car Service Company Report,1
Lost Property,Driver Complaint - Passenger,1
Indoor Air Quality,,1
Illegal Animal - Sold/Kept,Rooster,1
Emergency Response Team (ERT),Emergency Asbestos Response Inspection,1
